time_us,q0,q1,q2,q3,wx,wy,wz,motor1,motor2,motor3,motor4
245744996,-0.662706063676368,-0.03748569713529816,0.007958846236660762,0.7478984907348294,-0.00874018669128418,0.035107892006635666,0.03285334259271622,1641.0,1641.0,1641.0,1641.0
245844956,-0.6627205392929075,-0.03726878763335575,0.0067537146614351775,0.7479083577591106,-0.004997883923351765,0.027505997568368912,0.036587879061698914,1641.0,1641.0,1641.0,1641.0
245944916,-0.6627355899657809,-0.03703336906067743,0.00575904755968237,0.7479150357760762,-0.0027228975668549538,0.02710823155939579,0.03666868060827255,1641.0,1641.0,1641.0,1641.0
246044876,-0.6627403278668206,-0.036977196182971336,0.004930762159414636,0.7479195360237306,0.003549763932824135,0.0299178808927536,0.036162421107292175,1641.0,1641.0,1642.0,1641.0
246144836,-0.6623309437176865,-0.04420416246098678,0.0007311300738915734,0.7479058620334358,0.10167237371206284,0.23244744539260864,0.011994465254247189,1641.0,1641.0,1641.0,1642.0
246244796,-0.6614970024252703,-0.05545163975412535,0.0040800747278371685,0.7478838040906997,0.2392943799495697,0.12022778391838074,-0.01834244467318058,1641.0,1641.0,1642.0,1641.0
246344756,-0.6605228829052255,-0.06599916817435653,0.010151099169236462,0.7478305865264667,0.28185510635375977,0.038000836968421936,-0.010004612617194653,1642.0,1641.0,1641.0,1641.0
246444716,-0.6597497430117654,-0.07333636829476814,0.014230427902010023,0.7477630297112646,0.07488933950662613,0.13807053864002228,0.011141798458993435,1641.0,1642.0,1641.0,1642.0
246545509,-0.6591039955627244,-0.07885889579822729,0.02046838478943655,0.7476257371244306,0.22816771268844604,-0.06261439621448517,0.029147056862711906,1642.0,1641.0,1642.0,1641.0
246645469,-0.6586473608658047,-0.08266511262187637,0.023101228651563575,0.7475402774530021,0.025643544271588326,0.02535606175661087,0.04171738028526306,1641.0,1642.0,1641.0,1642.0
246745429,-0.658283937980375,-0.08559926604049169,0.025459139482520526,0.7474535804096389,0.11839117109775543,0.09891420602798462,0.043234776705503464,1642.0,1641.0,1641.0,1642.0
246845389,-0.6583693061992129,-0.08486026267280232,0.027113804872292483,0.7474044648376255,0.0743742436170578,-0.06899470835924149,0.03902312368154526,1642.0,1642.0,1642.0,1641.0
246945349,-0.6583658313362857,-0.08491492059489644,0.026562629582049663,0.7474211096155438,-0.03137180581688881,0.08929943293333054,0.035461004823446274,1642.0,1642.0,1641.0,1642.0
247045309,-0.6586112786279738,-0.08283865712663055,0.02720821531879382,0.7474146463434125,0.05716155469417572,-0.019285758957266808,0.022034361958503723,1642.0,1641.0,1642.0,1642.0
